Time ( s )	Y (  )
0.4800	117.191
0.4810	117.191
0.4820	117.191
0.4830	117.191
0.4840	117.191
0.4850	117.191
0.4860	117.191
0.4870	117.191
0.4880	116.703
0.4890	117.191
0.4900	117.191
0.4910	117.191
0.4920	117.191
0.4930	117.191
0.4940	117.191
0.4950	117.191
0.4960	117.191
0.4970	117.191
0.4980	117.191
0.4990	117.191
0.5000	117.191
0.5010	117.191
0.5020	117.191
0.5030	117.191
0.5040	117.191
0.5050	117.191
0.5060	117.191
0.5070	117.191
0.5080	117.191
0.5090	117.191
0.5100	117.191
0.5110	116.703
0.5120	117.191
0.5130	117.191
0.5140	117.191
0.5150	117.191
0.5160	117.191
0.5170	117.191
0.5180	117.191
0.5190	117.191
0.5200	117.191
0.5210	117.191
0.5220	117.191
0.5230	117.191
0.5240	117.191
0.5250	117.191
0.5260	117.191
0.5270	117.191
0.5280	117.191
0.5290	117.191
0.5300	117.191
0.5310	117.191
0.5320	117.191
0.5330	117.191
0.5340	117.191
0.5350	117.191
0.5360	117.191
0.5370	117.191
0.5380	117.191
0.5390	117.191
0.5400	117.191
0.5410	117.191
0.5420	117.191
0.5430	117.191
0.5440	117.191
0.5450	117.191
0.5460	117.191
0.5470	117.191
0.5480	117.191
0.5490	117.191
0.5500	117.191
0.5510	117.191
0.5520	117.191
0.5530	117.191
0.5540	117.191
0.5550	117.191
0.5560	117.191
0.5570	117.191
0.5580	117.191
0.5590	117.191
0.5600	117.191
0.5610	117.191
0.5620	117.191
0.5630	117.191
0.5640	117.191
0.5650	117.191
0.5660	117.191
0.5670	117.191
0.5680	117.191
0.5690	117.191
0.5700	117.191
0.5710	117.191
0.5720	117.191
0.5730	117.191
0.5740	117.191
0.5750	117.191
0.5760	117.191
0.5770	117.191
0.5780	117.191
0.5790	117.191
0.5800	117.191
0.5810	117.191
0.5820	117.191
0.5830	117.191
0.5840	117.191
0.5850	117.191
0.5860	117.191
0.5870	117.191
0.5880	117.191
0.5890	117.191
0.5900	117.191
0.5910	117.191
0.5920	117.191
0.5930	117.191
0.5940	117.191
0.5950	117.191
0.5960	117.191
0.5970	117.191
0.5980	117.191
0.5990	117.191
0.6000	117.191
0.6010	117.191
0.6020	117.191
0.6030	117.191
0.6040	117.191
0.6050	117.191
0.6060	117.191
0.6070	117.191
0.6080	117.191
0.6090	117.191
0.6100	117.191
0.6110	117.191
0.6120	117.191
0.6130	117.191
